"Name","Round","GPU Type","GPU Count","GitHub","Commit","Description","Hostname","End Time","Updated","Job Type","ID","Group","State","Notes","User","Tags","Created","Runtime","Sweep","adversarial_args.attack_env.attack","adversarial_args.attack_env.noise_type","adversarial_args.attack_env.poisoned_node_percent","adversarial_args.attack_env.poisoned_ratio","adversarial_args.attack_env.poisoned_sample_percent","adversarial_args.attack_env.targeted","adversarial_args.attacks","adversarial_args.is_iid","adversarial_args.noise_type","adversarial_args.poisoned_node_percent","adversarial_args.poisoned_ratio","adversarial_args.poisoned_sample_percent","adversarial_args.target_changed_label","adversarial_args.target_label","adversarial_args.targeted","aggregator_args.algorithm","aggregator_args.sentinel_loss_threshold","aggregator_args.sentinelglobal_active_round","attack_env.attack","attack_env.noise_type","attack_env.poisoned_node_percent","attack_env.poisoned_ratio","attack_env.poisoned_sample_percent","attack_env.targeted","data_args.dataset","data_args.is_iid","model_args.model","network_args","Test/ASR-backdoor","Test/ASR-targeted","Test/Accuracy","Test/F1Score","Test/Loss","Test/Precision","Test/Recall","TestEpoch/Accuracy","TestEpoch/F1Score","TestEpoch/Precision","TestEpoch/Recall","Train/Accuracy","Train/F1Score","Train/Loss","Train/Precision","Train/Recall","TrainEpoch/Accuracy","TrainEpoch/F1Score","TrainEpoch/Precision","TrainEpoch/Recall","Validation/Accuracy","Validation/F1Score","Validation/Loss","Validation/Precision","Validation/Recall","ValidationEpoch/Accuracy","ValidationEpoch/F1Score","ValidationEpoch/Precision","ValidationEpoch/Recall"
"participant_0","10","NVIDIA GeForce RTX 3080","2","","","","938f8c27abbb","2023-07-12T18:32:14.000Z","2023-07-13T07:16:24.000Z","","wtel40rg","CIFAR10_1_simplemobilenet_FlTrust_fully_LabelFlipping_1_N50-S100_R0_salt_20230712_202106","finished","-","janousy","","2023-07-12T18:22:16.000Z","598","","Label Flipping","salt","50","0","100","true","No Attack","true","salt","50","0","0","7","3","true","FlTrust","0.5","5","Label Flipping","salt","50","0","100","true","CIFAR10","true","simplemobilenet","192.168.50.2:46630","0","0.25742574257425743","0.743160605430603","0.688066840171814","1.235488772392273","0.678809642791748","0.743160605430603","0.7619675993919373","0.7222001552581787","0.691010057926178","0.7619675993919373","0.7966667413711548","0.786666750907898","0.6823925971984863","0.8133333921432495","0.7966667413711548","0.8172417879104614","0.8171259164810181","0.8172953128814697","0.8172417879104614","0.7536190152168274","0.7273860573768616","0.7243017554283142","0.7555027604103088","0.7536190152168274","0.7573921084403992","0.7570966482162476","0.7666051387786865","0.7573921084403992"
"participant_3","10","NVIDIA GeForce RTX 3080","2","","","","10e2440446a8","2023-07-12T18:32:14.000Z","2023-07-13T07:16:24.000Z","","3s0oxk0v","CIFAR10_1_simplemobilenet_FlTrust_fully_LabelFlipping_1_N50-S100_R0_salt_20230712_202106","finished","-","janousy","","2023-07-12T18:21:20.000Z","654","","Label Flipping","salt","50","0","100","true","Label Flipping","true","salt","50","0","1","7","3","true","FlTrust","0.5","5","Label Flipping","salt","50","0","100","true","CIFAR10","true","simplemobilenet","192.168.50.5:46633","0","0.22340425531914893","0.7149463295936584","0.6740907430648804","1.2513809204101562","0.6777341365814209","0.7149463295936584","0.7423839569091797","0.7072136998176575","0.680342972278595","0.7423839569091797","0.6107142567634583","0.6087662577629089","0.606930673122406","0.658214271068573","0.6107142567634583","0.7356564998626709","0.7382014989852905","0.7414674758911133","0.7356564998626709","0.6955238580703735","0.6667509078979492","0.6463919281959534","0.6927064061164856","0.6955238580703735","0.6997232437133789","0.7001670598983765","0.705755352973938","0.6997232437133789"
"participant_5","10","NVIDIA GeForce RTX 3080","2","","","","b03c312033d0","2023-07-12T18:32:12.000Z","2023-07-13T07:16:24.000Z","","ulnvi5h0","CIFAR10_1_simplemobilenet_FlTrust_fully_LabelFlipping_1_N50-S100_R0_salt_20230712_202106","finished","-","janousy","","2023-07-12T18:21:19.000Z","653","","Label Flipping","salt","50","0","100","true","No Attack","true","salt","50","0","0","7","3","true","FlTrust","0.5","5","Label Flipping","salt","50","0","100","true","CIFAR10","true","simplemobilenet","192.168.50.7:46635","0","0.28846153846153844","0.7461406588554382","0.6892367005348206","1.2709510326385498","0.6831324100494385","0.7461406588554382","0.7610039710998535","0.7239969372749329","0.695188581943512","0.7610039710998535","0.8916666507720947","0.8761905431747437","0.4157516360282898","0.8999999761581421","0.8916666507720947","0.8199598789215088","0.8192435503005981","0.8189682364463806","0.8199598789215088","0.71275395154953","0.6902385950088501","0.8132497072219849","0.7406142354011536","0.71275395154953","0.737517237663269","0.7436314225196838","0.7763870358467102","0.737517237663269"
"participant_8","10","NVIDIA GeForce RTX 3080","2","","","","cfd6887c009c","2023-07-12T18:32:11.000Z","2023-07-13T07:16:24.000Z","","quzhl2hw","CIFAR10_1_simplemobilenet_FlTrust_fully_LabelFlipping_1_N50-S100_R0_salt_20230712_202106","finished","-","janousy","","2023-07-12T18:21:19.000Z","652","","Label Flipping","salt","50","0","100","true","Label Flipping","true","salt","50","0","1","7","3","true","FlTrust","0.5","5","Label Flipping","salt","50","0","100","true","CIFAR10","true","simplemobilenet","192.168.50.10:46638","0","0.2272727272727273","0.7475525736808777","0.6895309686660767","1.3074215650558472","0.6781553626060486","0.7475525736808777","0.7700775265693665","0.7260434627532959","0.6921989917755127","0.7700775265693665","0.7591666579246521","0.7346886396408081","0.425606906414032","0.7323809862136841","0.7591666579246521","0.7404680252075195","0.7418720126152039","0.7435750961303711","0.7404680252075195","0.6787592172622681","0.6638287901878357","0.6197876334190369","0.7019195556640625","0.6787592172622681","0.7097409963607788","0.7088398933410645","0.7144250869750977","0.7097409963607788"
"participant_2","10","NVIDIA GeForce RTX 3080","2","","","","77d275228491","2023-07-12T18:32:09.000Z","2023-07-13T07:16:24.000Z","","fuxurbnc","CIFAR10_1_simplemobilenet_FlTrust_fully_LabelFlipping_1_N50-S100_R0_salt_20230712_202106","finished","-","janousy","","2023-07-12T18:21:19.000Z","650","","Label Flipping","salt","50","0","100","true","Label Flipping","true","salt","50","0","1","7","3","true","FlTrust","0.5","5","Label Flipping","salt","50","0","100","true","CIFAR10","true","simplemobilenet","192.168.50.4:46632","0","0.20833333333333337","0.7204889059066772","0.667762041091919","1.2524194717407229","0.6637480854988098","0.7204889059066772","0.7475895881652832","0.7125846743583679","0.6847979426383972","0.7475895881652832","0.7488095760345459","0.7153480052947998","0.6153649687767029","0.7166666984558105","0.7488095760345459","0.736503005027771","0.7385822534561157","0.7414971590042114","0.736503005027771","0.66184401512146","0.6337602734565735","0.6854923963546753","0.6579894423484802","0.66184401512146","0.6876299381256104","0.6775035262107849","0.6814630031585693","0.6876299381256104"
"participant_9","10","NVIDIA GeForce RTX 3080","2","","","","b97b6c3382e5","2023-07-12T18:32:06.000Z","2023-07-13T07:16:24.000Z","","eco6av1o","CIFAR10_1_simplemobilenet_FlTrust_fully_LabelFlipping_1_N50-S100_R0_salt_20230712_202106","finished","-","janousy","","2023-07-12T18:21:19.000Z","647","","Label Flipping","salt","50","0","100","true","No Attack","true","salt","50","0","0","7","3","true","FlTrust","0.5","5","Label Flipping","salt","50","0","100","true","CIFAR10","true","simplemobilenet","192.168.50.11:46639","0","0.1904761904761905","0.7311009168624878","0.6858060956001282","1.1079105138778689","0.6901344656944275","0.7311009168624878","0.7512236833572388","0.7188692092895508","0.694384753704071","0.7512236833572388","0.9466667175292968","0.944444477558136","0.381766676902771","0.946666657924652","0.9466667175292968","0.8198017477989197","0.8202207088470459","0.8209448456764221","0.8198017477989197","0.7338412404060364","0.7079340815544128","0.778075635433197","0.736208975315094","0.7338412404060364","0.7455315589904785","0.7450252771377563","0.7568504810333252","0.7455315589904785"
"participant_4","10","NVIDIA GeForce RTX 3080","2","","","","8260af1c2165","2023-07-12T18:32:10.000Z","2023-07-13T07:16:24.000Z","","a7uynbok","CIFAR10_1_simplemobilenet_FlTrust_fully_LabelFlipping_1_N50-S100_R0_salt_20230712_202106","finished","-","janousy","","2023-07-12T18:21:19.000Z","651","","Label Flipping","salt","50","0","100","true","Label Flipping","true","salt","50","0","1","7","3","true","FlTrust","0.5","5","Label Flipping","salt","50","0","100","true","CIFAR10","true","simplemobilenet","192.168.50.6:46634","0","0.2641509433962264","0.7578353881835938","0.6945127844810486","1.3150309324264526","0.6816743612289429","0.7578353881835938","0.7608580589294434","0.7198688387870789","0.6877344846725464","0.7608580589294434","0.7000000476837158","0.6689743995666504","0.5225882530212402","0.6940476298332214","0.7000000476837158","0.7381312847137451","0.7401003837585449","0.742698073387146","0.7381312847137451","0.6451495289802551","0.6221703886985779","0.6797731518745422","0.6649294495582581","0.6451495289802551","0.6532449722290039","0.6588070392608643","0.688121497631073","0.6532449722290039"
"participant_7","10","NVIDIA GeForce RTX 3080","2","","","","839a12352903","2023-07-12T18:32:06.000Z","2023-07-13T07:16:24.000Z","","a7ktjilw","CIFAR10_1_simplemobilenet_FlTrust_fully_LabelFlipping_1_N50-S100_R0_salt_20230712_202106","finished","-","janousy","","2023-07-12T18:21:19.000Z","647","","Label Flipping","salt","50","0","100","true","No Attack","true","salt","50","0","0","7","3","true","FlTrust","0.5","5","Label Flipping","salt","50","0","100","true","CIFAR10","true","simplemobilenet","192.168.50.9:46637","0","0.2524271844660194","0.7419291138648987","0.6832296252250671","1.2634981870651243","0.6723951101303101","0.7419291138648987","0.7611390352249146","0.7210074663162231","0.6886197328567505","0.7611390352249146","0.7623809576034546","0.7082167863845825","0.5269660353660583","0.7000000476837158","0.7623809576034546","0.815635085105896","0.8152157664299011","0.8150484561920166","0.815635085105896","0.6765793561935425","0.6521894931793213","0.730783224105835","0.6854841113090515","0.6765793561935425","0.7266918420791626","0.7304642200469971","0.7434307336807251","0.7266918420791626"
"participant_1","10","NVIDIA GeForce RTX 3080","2","","","","78c88c4a4fb9","2023-07-12T18:32:06.000Z","2023-07-13T07:16:24.000Z","","09zkp8bx","CIFAR10_1_simplemobilenet_FlTrust_fully_LabelFlipping_1_N50-S100_R0_salt_20230712_202106","finished","-","janousy","","2023-07-12T18:21:19.000Z","647","","Label Flipping","salt","50","0","100","true","Label Flipping","true","salt","50","0","1","7","3","true","FlTrust","0.5","5","Label Flipping","salt","50","0","100","true","CIFAR10","true","simplemobilenet","192.168.50.3:46631","0","0.2765957446808511","0.7184385061264038","0.6724626421928406","1.1952978372573853","0.6693121194839478","0.7184385061264038","0.7512787580490112","0.7155638337135315","0.6880722045898438","0.7512787580490112","0.695476233959198","0.6762193441390991","0.6594691276550293","0.7188888788223267","0.695476233959198","0.7252881526947021","0.7277469038963318","0.7307448387145996","0.7252881526947021","0.6780900359153748","0.667034924030304","0.5926803350448608","0.6968405246734619","0.6780900359153748","0.7136321663856506","0.7172475457191467","0.7265123128890991","0.7136321663856506"
"participant_6","10","NVIDIA GeForce RTX 3080","2","","","","d5f503c98060","2023-07-12T18:32:11.000Z","2023-07-13T07:16:24.000Z","","dwwwowi4","CIFAR10_1_simplemobilenet_FlTrust_fully_LabelFlipping_1_N50-S100_R0_salt_20230712_202106","finished","-","janousy","","2023-07-12T18:21:18.000Z","653","","Label Flipping","salt","50","0","100","true","No Attack","true","salt","50","0","0","7","3","true","FlTrust","0.5","5","Label Flipping","salt","50","0","100","true","CIFAR10","true","simplemobilenet","192.168.50.8:46636","0","0.1875","0.7156335711479187","0.6688803434371948","1.2143661975860596","0.6623464822769165","0.7156335711479187","0.7496850490570068","0.7132095098495483","0.6842120885848999","0.7496850490570068","0.6516667008399963","0.6608730554580688","0.6928011775016785","0.6950000524520874","0.6516667008399963","0.8058947324752808","0.8055462837219238","0.805635929107666","0.8058947324752808","0.7295132279396057","0.7132366299629211","0.6813080906867981","0.7620635628700256","0.7295132279396057","0.764612078666687","0.7663788199424744","0.7833139896392822","0.764612078666687"
"participant_0","10","NVIDIA GeForce RTX 3080","2","","","","d3842be67faa","2023-07-12T18:20:47.000Z","2023-07-13T07:16:27.000Z","","n59s4eh6","CIFAR10_1_simplemobilenet_FlTrust_fully_LabelFlipping_1_N80-S30_R0_salt_20230712_200949","finished","-","janousy","","2023-07-12T18:10:59.000Z","588","","Label Flipping","salt","80","0","30","true","No Attack","true","salt","80","0","0","7","3","true","FlTrust","0.5","5","Label Flipping","salt","80","0","30","true","CIFAR10","true","simplemobilenet","192.168.50.2:46620","0","0.4257425742574258","0.7486291527748108","0.6891487240791321","2.777888536453247","0.681210994720459","0.7486291527748108","0.7567864060401917","0.718095600605011","0.6887232065200806","0.7567864060401917","0.7340476512908936","0.6884127259254456","0.6498484015464783","0.7383333444595337","0.7340476512908936","0.8208582997322083","0.8213543891906738","0.8220651745796204","0.8208582997322083","0.7564443349838257","0.7314627766609192","0.6795833110809326","0.7595001459121704","0.7564443349838257","0.7746250033378601","0.7727056741714478","0.777597188949585","0.7746250033378601"
"participant_6","10","NVIDIA GeForce RTX 3080","2","","","","a76dcda4005e","2023-07-12T18:20:43.000Z","2023-07-13T07:16:27.000Z","","twqmxk1x","CIFAR10_1_simplemobilenet_FlTrust_fully_LabelFlipping_1_N80-S30_R0_salt_20230712_200949","finished","-","janousy","","2023-07-12T18:10:03.000Z","640","","Label Flipping","salt","80","0","30","true","No Attack","true","salt","80","0","0","7","3","true","FlTrust","0.5","5","Label Flipping","salt","80","0","30","true","CIFAR10","true","simplemobilenet","192.168.50.8:46626","0","0.28125","0.7255377173423767","0.6772167682647705","2.687793493270874","0.6722390055656433","0.7255377173423767","0.7490114569664001","0.7115548253059387","0.6859679222106934","0.7490114569664001","0.6666666269302368","0.6534126996994019","0.7023558616638184","0.6650000214576721","0.6666666269302368","0.8075368404388428","0.8073948621749878","0.8074262142181396","0.8075368404388428","0.726412832736969","0.6868147253990173","0.7462347745895386","0.7112619876861572","0.726412832736969","0.727609395980835","0.7291102409362793","0.739403247833252","0.727609395980835"
"participant_8","10","NVIDIA GeForce RTX 3080","2","","","","d22f039ac3c4","2023-07-12T18:20:47.000Z","2023-07-13T07:16:27.000Z","","qjgpk39g","CIFAR10_1_simplemobilenet_FlTrust_fully_LabelFlipping_1_N80-S30_R0_salt_20230712_200949","finished","-","janousy","","2023-07-12T18:10:03.000Z","644","","Label Flipping","salt","80","0","30","true","Label Flipping","true","salt","80","0","0.3","7","3","true","FlTrust","0.5","5","Label Flipping","salt","80","0","30","true","CIFAR10","true","simplemobilenet","192.168.50.10:46628","0","0.43636363636363634","0.7311405539512634","0.6731703281402588","2.9587740898132324","0.6639043688774109","0.7311405539512634","0.7461611032485962","0.7054566144943237","0.6730766892433167","0.7461611032485962","0.7083333730697632","0.7180953025817871","0.27436816692352295","0.7416666746139526","0.7083333730697632","0.7492015361785889","0.7498559951782227","0.7510507106781006","0.7492015361785889","0.6783121824264526","0.6617962121963501","0.6880262494087219","0.6875105500221252","0.6783121824264526","0.6988844871520996","0.708312451839447","0.7246860265731812","0.6988844871520996"
