"Name","GPU Type","GPU Count","Commit","GitHub","Description","Hostname","Sweep","Runtime","End Time","Updated","Tags","ID","State","Notes","User","Group","Job Type","Created","trainer/global_step","epoch","Validation/Loss","Validation/Accuracy","TrainEnd/Loss","Train/Loss","Test/Loss","Test/Accuracy","Round","network_args","model_args.model","data_args.dataset","aggregator_args.algorithm","adversarial_args.targeted","adversarial_args.target_label","adversarial_args.target_changed_label","adversarial_args.poisoned_sample_persent","adversarial_args.poisoned_ratio","adversarial_args.noise_type","adversarial_args.attacks","127.0.0.1:46510","127.0.0.1:46511","127.0.0.1:46512","127.0.0.1:46513","127.0.0.1:46514","127.0.0.1:46520","127.0.0.1:46521","127.0.0.1:46522","127.0.0.1:46523","127.0.0.1:46524","127.0.0.1:46524 127.0.0.1:46520","127.0.0.1:46530","127.0.0.1:46531","127.0.0.1:46532","127.0.0.1:46533","127.0.0.1:46534","127.0.0.1:46540","127.0.0.1:46541","127.0.0.1:46542","127.0.0.1:46543","127.0.0.1:46544","127.0.0.1:46550","127.0.0.1:46551","127.0.0.1:46552","127.0.0.1:46553","127.0.0.1:46554"
"participant_0","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","196","2023-05-06T11:30:07.000Z","2023-05-06T11:47:50.000Z","NoAttack","dsimveik","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_132636","","2023-05-06T11:26:51.000Z","0","0","0.12616893649101257","0.9733333587646484","0.001272632973268628","0.0005255597061477602","0.35421597957611084","0.9545000195503236","10","127.0.0.146505","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_4","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","198","2023-05-06T11:30:06.000Z","2023-05-06T11:47:50.000Z","NoAttack","x75q5p55","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_132636","","2023-05-06T11:26:48.000Z","0","0","0.29026758670806885","0.965833306312561","0.00764382304623723","0.000010969563845719676","0.15309640765190125","0.9810000061988832","10","127.0.0.146509","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_3","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","202","2023-05-06T11:30:10.000Z","2023-05-06T11:47:50.000Z","NoAttack","p0n9p2rt","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_132636","","2023-05-06T11:26:48.000Z","0","0","0.0875842422246933","0.9783333539962769","0.008080948144197464","0.0003805822925642133","0.1002625972032547","0.9850000143051147","10","127.0.0.146508","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_1","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","199","2023-05-06T11:30:07.000Z","2023-05-06T11:47:50.000Z","NoAttack","jio51qy8","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_132636","","2023-05-06T11:26:48.000Z","0","0","0.16368494927883148","0.975000023841858","0.00004053163138451055","0.0000013783495660391054","0.3210597336292267","0.9570000171661376","10","127.0.0.146506","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_2","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","201","2023-05-06T11:30:09.000Z","2023-05-06T11:47:50.000Z","NoAttack","3ryocd2u","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_132636","","2023-05-06T11:26:48.000Z","0","0","0.1005665361881256","0.9791666865348816","0.0038761503528803583","0.0018396340310573576","0.21800771355628967","0.9725000262260436","10","127.0.0.146507","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_0","","","","https://github.com/janousy/fedstellar-robust/tree/9bf7eb55ce040c660a8ba35376447d5cfbe080f2","","some-mba.fritz.box","","199","2023-05-05T15:20:49.000Z","2023-05-06T11:47:50.000Z","NoAttack","nlpierme","finished","-","janousy","MNIST_MLP_FedAvg_fully_NoAttack_False_N0-S0_R0_gaussian_20230505_171716","","2023-05-05T15:17:30.000Z","0","0","0.19609776139259336","0.9691666960716248","0.007645952049642801","8.679884331286303e-7","0.11787571758031844","0.9789999723434448","10","127.0.0.146505","MLP","MNIST","FedAvg","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_4","","","","https://github.com/janousy/fedstellar-robust/tree/9bf7eb55ce040c660a8ba35376447d5cfbe080f2","","some-mba.fritz.box","","199","2023-05-05T15:20:48.000Z","2023-05-06T11:47:50.000Z","NoAttack","pl4pr98l","finished","-","janousy","MNIST_MLP_FedAvg_fully_NoAttack_False_N0-S0_R0_gaussian_20230505_171716","","2023-05-05T15:17:29.000Z","0","0","0.13683760166168213","0.9800000190734864","0.007763444446027279","0.003360229544341564","0.06339165568351746","0.9890000224113464","10","127.0.0.146509","MLP","MNIST","FedAvg","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_1","","","","https://github.com/janousy/fedstellar-robust/tree/9bf7eb55ce040c660a8ba35376447d5cfbe080f2","","some-mba.fritz.box","","199","2023-05-05T15:20:48.000Z","2023-05-06T11:47:50.000Z","NoAttack","nofxpctz","finished","-","janousy","MNIST_MLP_FedAvg_fully_NoAttack_False_N0-S0_R0_gaussian_20230505_171716","","2023-05-05T15:17:29.000Z","0","0","0.1642937213182449","0.977500021457672","0.014319483190774918","0.000010996674973284826","0.13321228325366974","0.9735000133514404","10","127.0.0.146506","MLP","MNIST","FedAvg","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_3","","","","https://github.com/janousy/fedstellar-robust/tree/9bf7eb55ce040c660a8ba35376447d5cfbe080f2","","some-mba.fritz.box","","200","2023-05-05T15:20:49.000Z","2023-05-06T11:47:50.000Z","NoAttack","liiuq4zl","finished","-","janousy","MNIST_MLP_FedAvg_fully_NoAttack_False_N0-S0_R0_gaussian_20230505_171716","","2023-05-05T15:17:29.000Z","0","0","0.09368576109409332","0.9766666889190674","0.0038986830040812497","0.000038099282392067835","0.033223286271095276","0.9929999709129332","10","127.0.0.146508","MLP","MNIST","FedAvg","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_2","","","","https://github.com/janousy/fedstellar-robust/tree/9bf7eb55ce040c660a8ba35376447d5cfbe080f2","","some-mba.fritz.box","","201","2023-05-05T15:20:50.000Z","2023-05-06T11:47:50.000Z","NoAttack","ab5y0gw7","finished","-","janousy","MNIST_MLP_FedAvg_fully_NoAttack_False_N0-S0_R0_gaussian_20230505_171716","","2023-05-05T15:17:29.000Z","0","0","0.16024114191532135","0.9758333563804626","0.009112012572586536","0.00030153582338243723","0.0774771198630333","0.9825000166893004","10","127.0.0.146507","MLP","MNIST","FedAvg","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_0","","","","https://github.com/janousy/fedstellar-robust/tree/9bf7eb55ce040c660a8ba35376447d5cfbe080f2","","some-mba.fritz.box","","1413","2023-05-05T15:07:14.000Z","2023-05-06T11:47:50.000Z","NoAttack","pehxl1vd","finished","-","janousy","MNIST_MLP_FlTrust_fully_NoAttack_False_N0-S0_R0_gaussian_20230505_164150","","2023-05-05T14:43:41.000Z","0","0","0.17232945561408997","0.9700000286102296","0.015566408634185793","0.00011242018081247808","0.21748647093772888","0.9605000019073486","10","127.0.0.146550","MLP","MNIST","FlTrust","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","1","0.8066226840019226","0.7912313342094421","0.8099932670593262","0.8152475953102112"
"participant_3","","","","https://github.com/janousy/fedstellar-robust/tree/9bf7eb55ce040c660a8ba35376447d5cfbe080f2","","some-mba.fritz.box","","1418","2023-05-05T15:07:14.000Z","2023-05-06T11:47:50.000Z","NoAttack","s5qiy6gf","finished","-","janousy","MNIST_MLP_FlTrust_fully_NoAttack_False_N0-S0_R0_gaussian_20230505_164150","","2023-05-05T14:43:36.000Z","0","0","0.14347046613693237","0.9758333563804626","0.004079574719071388","0.0005660438328050077","0.03923075273633003","0.9915000200271606","10","127.0.0.146553","MLP","MNIST","FlTrust","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","0.9122774600982666","0.7935613989830017","0.7976062893867493","1","0.8109278678894043"
"participant_4","","","","https://github.com/janousy/fedstellar-robust/tree/9bf7eb55ce040c660a8ba35376447d5cfbe080f2","","some-mba.fritz.box","","1421","2023-05-05T15:07:11.000Z","2023-05-06T11:47:50.000Z","NoAttack","p0n32f3b","finished","-","janousy","MNIST_MLP_FlTrust_fully_NoAttack_False_N0-S0_R0_gaussian_20230505_164150","","2023-05-05T14:43:30.000Z","0","0","0.12441901862621307","0.9758333563804626","0.007225798908621073","0.003216444980353117","0.08288596570491791","0.987500011920929","10","127.0.0.146554","MLP","MNIST","FlTrust","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","0.9184778332710266","0.8077349066734314","0.8052130341529846","0.8109278678894043","1"
"participant_2","","","","https://github.com/janousy/fedstellar-robust/tree/9bf7eb55ce040c660a8ba35376447d5cfbe080f2","","some-mba.fritz.box","","1406","2023-05-05T15:06:50.000Z","2023-05-06T11:47:50.000Z","NoAttack","yt5xznsk","finished","-","janousy","MNIST_MLP_FlTrust_fully_NoAttack_False_N0-S0_R0_gaussian_20230505_164150","","2023-05-05T14:43:24.000Z","0","0","0.21812382340431213","0.9725000262260436","0.006190783344209194","0.000017680085875326768","0.18247897922992704","0.9739999771118164","10","127.0.0.146552","MLP","MNIST","FlTrust","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","0.9058082699775696","0.7966144680976868","1","0.7976062893867493","0.8052130341529846"
"participant_1","","","","https://github.com/janousy/fedstellar-robust/tree/9bf7eb55ce040c660a8ba35376447d5cfbe080f2","","some-mba.fritz.box","","1439","2023-05-05T15:07:14.000Z","2023-05-06T11:47:50.000Z","NoAttack","z0ehdfqu","finished","-","janousy","MNIST_MLP_FlTrust_fully_NoAttack_False_N0-S0_R0_gaussian_20230505_164150","","2023-05-05T14:43:15.000Z","0","0","0.15808391571044922","0.9758333563804626","0.013629979453980924","0.00029244652250781655","0.13744360208511353","0.9760000109672546","10","127.0.0.146551","MLP","MNIST","FlTrust","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","1","","",""
"participant_0","","","","https://github.com/janousy/fedstellar-robust/tree/9bf7eb55ce040c660a8ba35376447d5cfbe080f2","","some-mba.fritz.box","","1545","2023-05-05T15:05:37.000Z","2023-05-06T11:47:50.000Z","NoAttack","7cwmtzpi","finished","-","janousy","MNIST_MLP_FedAvg_fully_NoAttack_False_N0-S0_R0_gaussian_20230505_163838","","2023-05-05T14:39:52.000Z","0","0","0.07846394926309586","0.9808333516120912","0.00029374458245001733","0.00003542956619639881","0.13551375269889832","0.9725000262260436","10","127.0.0.146545","MLP","MNIST","FedAvg","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_4","","","","https://github.com/janousy/fedstellar-robust/tree/9bf7eb55ce040c660a8ba35376447d5cfbe080f2","","some-mba.fritz.box","","1617","2023-05-05T15:06:46.000Z","2023-05-06T11:47:50.000Z","NoAttack","24xcnfjv","finished","-","janousy","MNIST_MLP_FedAvg_fully_NoAttack_False_N0-S0_R0_gaussian_20230505_163838","","2023-05-05T14:39:49.000Z","0","0","0.17409250140190125","0.9700000286102296","0.019815921783447266","0.0011580189457163217","0.12319115549325944","0.9739999771118164","10","127.0.0.146549","MLP","MNIST","FedAvg","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
